From http://www.esrl.noaa.gov/gmd/dv/site/site_table.html
(* denotes discontinued site)
Code	Name	Latitude	Longitude	Elevation (Meters)	Country
SGI *	Bird Island, South Georgia	-54.00	-38.05	30.0	United Kingdom
SGP	Southern Great Plains, Oklahoma	36.80	-97.50	314.0	United States
SHM	Shemya Island, Alaska	52.72	174.10	40.0	United States
SMO	Tutuila	-14.25	-170.56	42.0	American Samoa
SPO	South Pole, Antarctica	-89.98	-24.80	2810.0	United States
STC *	Ocean Station C	54.00	-35.00	6.0	United States
STM *	Ocean Station M	66.00	2.00	0.0	Norway
STR	Sutro Tower, San Francisco, California	37.76	-122.45	254.0	United States
SUM	Summit	72.58	-38.48	3238.0	Greenland
SYO	Syowa Station, Antarctica	-69.00	39.58	11.0	Japan
TAP	Tae-ahn Peninsula	36.73	126.13	20.0	Republic of Korea
TDF	Tierra Del Fuego, Ushuaia	-54.87	-68.48	20.0	Argentina
THD	Trinidad Head, California	41.05	-124.15	107.0	United States
TIK	Hydrometeorological Observatory of Tiksi	71.60	128.90	0.0	Russia
UTA	Wendover, Utah	39.90	-113.72	1320.0	United States
UUM	Ulaan Uul	44.45	111.10	914.0	Mongolia
WBI	West Branch, Iowa	41.73	-91.35	241.7	United States
WGC	Walnut Grove, California	38.27	-121.49	0.0	United States
WIS	WIS Station, Negev Desert	31.13	34.88	400.0	Israel
WKT	Moody, Texas	31.32	-97.33	251.0	United States
WLG	Mt. Waliguan	36.29	100.90	3810.0	Peoples Republic of China
WPCN00	Western Pacific Cruise (0 N)	0.00	151.10	0.0	N/A
WPCN05	Western Pacific Cruise (5 N)	5.00	149.10	0.0	N/A
WPCN10	Western Pacific Cruise (10 N)	10.00	148.00	0.0	N/A
WPCN15	Western Pacific Cruise (15 N)	15.00	145.00	0.0	N/A
WPCN20	Western Pacific Cruise (20 N)	20.00	142.00	0.0	N/A
WPCN25	Western Pacific Cruise (25 N)	25.00	140.00	0.0	N/A
WPCN30	Western Pacific Cruise (30 N)	30.00	136.80	0.0	N/A
WPCS05	Western Pacific Cruise (5 S)	-5.00	153.70	0.0	N/A
WPCS10	Western Pacific Cruise (10 S)	-10.00	156.80	0.0	N/A
WPCS15	Western Pacific Cruise (15 S)	-15.00	159.30	0.0	N/A
WPCS20	Western Pacific Cruise (20 S)	-20.00	161.10	0.0	N/A
WPCS25	Western Pacific Cruise (25 S)	-25.00	165.50	0.0	N/A
WPCS30	Western Pacific Cruise (30 S)	-30.00	168.00	0.0	N/A
ZEP	Ny-Alesund, Svalbard	78.90	11.88	475.0	Norway and Sweden
